"","department","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"44793","Procurement","Bachelor's","m","other",1,30,3,4,"No",68,"Non-Promotion"
"44796","Finance","Bachelor's","m","other",1,47,3,7,"No",58,"Non-Promotion"
"44803","Procurement","Master's & above","m","sourcing",1,60,5,7,"No",66,"Non-Promotion"
"44804","Operations","Master's & above","m","sourcing",2,38,2,3,"No",59,"Non-Promotion"
"44809","Sales & Marketing","Master's & above","m","other",1,37,3,4,"No",49,"Non-Promotion"
"44811","Sales & Marketing","Master's & above","f","other",4,57,1,6,"No",50,"Non-Promotion"
"44814","Operations","Bachelor's","m","sourcing",1,30,3,7,"No",57,"Non-Promotion"
"44816","Procurement","Bachelor's","f","sourcing",1,43,2,3,"No",71,"Non-Promotion"
"44817","Sales & Marketing","Bachelor's","m","sourcing",2,38,4,11,"No",52,"Non-Promotion"
"44819","Sales & Marketing","Bachelor's","f","other",1,44,5,12,"No",51,"Promotion"
"44821","Operations","Master's & above","m","sourcing",1,44,5,14,"No",61,"Non-Promotion"
"44823","Analytics","Master's & above","m","sourcing",1,31,3,6,"No",82,"Non-Promotion"
"44827","Analytics","Bachelor's","m","other",2,39,3,10,"No",82,"Non-Promotion"
"44833","Operations","Bachelor's","m","other",2,44,5,13,"No",58,"Non-Promotion"
"44834","Technology","Bachelor's","f","sourcing",2,31,4,3,"No",81,"Non-Promotion"
"44835","Sales & Marketing","Master's & above","m","sourcing",1,37,4,3,"No",50,"Non-Promotion"
"44836","Sales & Marketing","Bachelor's","m","other",2,25,5,2,"No",50,"Non-Promotion"
"44838","HR","Bachelor's","f","other",1,29,5,3,"No",46,"Non-Promotion"
"44842","Technology","Bachelor's","m","sourcing",1,29,4,6,"No",80,"Non-Promotion"
"44844","Operations","Bachelor's","m","sourcing",1,39,4,9,"No",61,"Non-Promotion"
"44847","Technology","Bachelor's","m","other",1,36,3,3,"No",80,"Non-Promotion"
"44848","Procurement","Bachelor's","f","other",1,36,3,3,"No",69,"Promotion"
"44849","Operations","Master's & above","m","other",1,36,3,3,"No",59,"Non-Promotion"
"44851","Analytics","Bachelor's","m","sourcing",2,37,5,9,"No",84,"Non-Promotion"
"44863","Operations","Master's & above","m","sourcing",2,34,4,7,"No",58,"Non-Promotion"
"44864","Operations","Bachelor's","f","other",1,34,5,10,"No",53,"Promotion"
"44866","Sales & Marketing","Bachelor's","f","sourcing",1,49,2,2,"No",54,"Non-Promotion"
"44868","Sales & Marketing","Bachelor's","m","other",1,31,4,5,"No",53,"Non-Promotion"
"44869","Technology","Master's & above","m","other",1,53,3,13,"No",78,"Non-Promotion"
"44872","Sales & Marketing","Master's & above","m","other",1,36,2,5,"No",49,"Non-Promotion"
"44875","Operations","Bachelor's","m","other",1,38,5,9,"No",57,"Non-Promotion"
"44877","Procurement","Master's & above","m","sourcing",2,36,3,2,"No",69,"Non-Promotion"
"44878","Procurement","Master's & above","m","sourcing",1,35,4,3,"No",69,"Non-Promotion"
"44881","Procurement","Master's & above","f","other",1,39,4,10,"No",72,"Non-Promotion"
"44885","Operations","Bachelor's","m","sourcing",4,33,2,4,"No",58,"Non-Promotion"
"44888","Sales & Marketing","Bachelor's","f","sourcing",1,32,2,6,"No",54,"Non-Promotion"
"44889","Technology","Bachelor's","f","sourcing",1,35,3,7,"No",83,"Non-Promotion"
"44892","Sales & Marketing","Master's & above","m","other",3,36,2,10,"No",50,"Non-Promotion"
"44893","HR","Bachelor's","m","other",1,30,3,6,"No",51,"Non-Promotion"
"44898","Sales & Marketing","Master's & above","f","other",10,42,3,13,"No",49,"Non-Promotion"
"44901","Sales & Marketing","Master's & above","m","other",1,32,1,10,"No",54,"Non-Promotion"
"44902","Analytics","Bachelor's","m","sourcing",2,29,5,2,"No",80,"Non-Promotion"
"44904","Analytics","Master's & above","f","other",1,36,5,10,"No",85,"Promotion"
"44908","Technology","Master's & above","f","other",1,32,2,4,"No",82,"Non-Promotion"
"44915","Operations","Bachelor's","f","other",2,26,3,2,"No",62,"Non-Promotion"
"44916","Operations","Master's & above","m","sourcing",2,35,5,5,"No",58,"Non-Promotion"
"44917","Procurement","Bachelor's","f","other",2,38,3,8,"No",70,"Non-Promotion"
"44918","Operations","Bachelor's","m","other",1,51,2,26,"No",64,"Non-Promotion"
"44920","Legal","Bachelor's","m","sourcing",1,32,3,2,"No",64,"Non-Promotion"
"44921","Sales & Marketing","Bachelor's","f","other",1,41,3,3,"No",49,"Non-Promotion"
"44926","Operations","Bachelor's","f","other",1,28,3,4,"No",61,"Non-Promotion"
"44927","Technology","Bachelor's","m","other",1,28,1,2,"No",80,"Non-Promotion"
"44936","Sales & Marketing","Bachelor's","m","sourcing",1,30,3,6,"No",47,"Non-Promotion"
"44941","Technology","Master's & above","f","sourcing",1,38,5,7,"No",76,"Non-Promotion"
"44947","Technology","Master's & above","f","other",1,35,5,7,"No",80,"Non-Promotion"
"44948","Finance","Bachelor's","m","other",1,27,3,1,"No",58,"Non-Promotion"
"44950","Procurement","Master's & above","m","other",1,43,3,13,"No",66,"Non-Promotion"
"44952","Sales & Marketing","Bachelor's","f","other",1,27,5,3,"No",48,"Non-Promotion"
"44961","Operations","Master's & above","f","other",1,33,2,6,"No",63,"Non-Promotion"
"44962","Sales & Marketing","Master's & above","m","other",1,48,4,17,"No",46,"Non-Promotion"
"44970","Technology","Bachelor's","f","sourcing",1,33,4,4,"No",81,"Non-Promotion"
"44973","Operations","Bachelor's","f","other",1,35,5,8,"No",58,"Non-Promotion"
"44978","Operations","Bachelor's","f","other",1,26,1,2,"No",56,"Non-Promotion"
"44979","Technology","Below Secondary","f","sourcing",1,21,3,2,"No",76,"Non-Promotion"
"44980","Sales & Marketing","Master's & above","f","sourcing",1,45,5,18,"No",48,"Non-Promotion"
"44983","Legal","Bachelor's","m","other",1,34,1,5,"No",59,"Non-Promotion"
"44987","Sales & Marketing","Bachelor's","m","sourcing",2,28,1,2,"No",51,"Non-Promotion"
"44988","Technology","Below Secondary","m","other",1,25,3,2,"No",80,"Non-Promotion"
"44995","Technology","Bachelor's","m","sourcing",2,42,3,3,"No",80,"Non-Promotion"
"44996","R&D","Master's & above","m","sourcing",1,34,3,5,"No",84,"Non-Promotion"
"44997","Technology","Bachelor's","f","sourcing",1,26,3,3,"No",82,"Non-Promotion"
"44999","Operations","Bachelor's","m","other",1,36,4,10,"No",58,"Non-Promotion"
"45001","Analytics","Master's & above","m","sourcing",1,33,3,9,"No",80,"Non-Promotion"
"45004","Analytics","Bachelor's","m","sourcing",2,27,3,2,"No",85,"Non-Promotion"
"45008","Sales & Marketing","Master's & above","m","sourcing",1,54,5,17,"No",50,"Non-Promotion"
"45011","Operations","Bachelor's","m","other",1,32,5,7,"No",61,"Non-Promotion"
"45012","Sales & Marketing","Master's & above","m","other",1,48,4,19,"No",46,"Non-Promotion"
"45014","Sales & Marketing","Master's & above","f","sourcing",1,32,5,3,"No",54,"Non-Promotion"
"45015","Legal","Bachelor's","m","other",1,32,1,2,"No",57,"Non-Promotion"
"45017","Sales & Marketing","Bachelor's","f","other",1,30,5,5,"No",52,"Non-Promotion"
"45019","Sales & Marketing","Bachelor's","m","other",2,34,5,5,"No",49,"Non-Promotion"
"45023","Technology","Bachelor's","f","sourcing",1,25,3,2,"No",82,"Non-Promotion"
"45031","Operations","Bachelor's","f","other",1,34,4,6,"No",61,"Non-Promotion"
"45032","Procurement","Master's & above","m","other",1,52,5,20,"No",72,"Non-Promotion"
"45036","Sales & Marketing","Bachelor's","m","sourcing",1,34,3,7,"No",47,"Non-Promotion"
"45038","Sales & Marketing","Bachelor's","m","sourcing",1,40,4,6,"No",46,"Non-Promotion"
"45039","Procurement","Bachelor's","m","other",1,32,3,3,"No",73,"Non-Promotion"
"45040","Operations","Bachelor's","f","sourcing",1,34,4,6,"No",61,"Non-Promotion"
"45041","Sales & Marketing","Bachelor's","m","other",1,38,5,11,"No",47,"Non-Promotion"
"45042","Sales & Marketing","Master's & above","m","sourcing",1,44,1,2,"No",53,"Non-Promotion"
"45043","Sales & Marketing","Bachelor's","m","sourcing",1,29,1,2,"No",54,"Non-Promotion"
"45045","Sales & Marketing","Bachelor's","f","other",1,33,2,8,"No",50,"Non-Promotion"
"45049","Procurement","Master's & above","m","sourcing",1,36,5,9,"No",73,"Non-Promotion"
"45058","Operations","Bachelor's","f","sourcing",1,31,5,7,"No",61,"Non-Promotion"
"45062","Operations","Bachelor's","f","other",1,36,5,9,"No",59,"Non-Promotion"
"45063","Analytics","Bachelor's","m","other",3,31,3,3,"No",84,"Non-Promotion"
"45064","Sales & Marketing","Master's & above","m","sourcing",1,37,5,10,"No",54,"Promotion"
"45069","Operations","Bachelor's","m","other",1,33,1,6,"No",58,"Non-Promotion"
"45070","Sales & Marketing","Bachelor's","m","sourcing",3,29,3,5,"No",48,"Non-Promotion"
"45073","Analytics","Bachelor's","m","sourcing",1,28,1,6,"No",84,"Non-Promotion"
"45078","Technology","Bachelor's","f","sourcing",1,28,3,6,"No",82,"Non-Promotion"
"45079","Sales & Marketing","Master's & above","f","other",1,60,4,5,"No",53,"Non-Promotion"
"45084","HR","Bachelor's","m","sourcing",1,33,4,9,"No",51,"Non-Promotion"
"45086","Sales & Marketing","Bachelor's","m","sourcing",1,26,1,3,"No",48,"Non-Promotion"
"45088","Operations","Bachelor's","f","other",1,32,3,7,"No",59,"Non-Promotion"
"45089","Sales & Marketing","Master's & above","m","other",1,34,3,9,"No",47,"Non-Promotion"
"45097","Procurement","Bachelor's","f","sourcing",1,26,4,4,"No",69,"Non-Promotion"
"45098","Sales & Marketing","Bachelor's","m","sourcing",1,31,5,5,"No",50,"Non-Promotion"
"45100","Operations","Bachelor's","f","sourcing",1,30,4,6,"No",56,"Non-Promotion"
"45103","Sales & Marketing","Bachelor's","m","sourcing",1,30,3,5,"No",49,"Non-Promotion"
"45104","Operations","Master's & above","f","sourcing",1,39,5,3,"No",58,"Non-Promotion"
"45111","Technology","Bachelor's","m","sourcing",1,54,5,17,"No",81,"Non-Promotion"
"45112","Technology","Bachelor's","m","sourcing",1,32,2,7,"No",78,"Non-Promotion"
"45115","Sales & Marketing","Master's & above","m","sourcing",1,40,4,4,"Yes",51,"Promotion"
"45123","Technology","Bachelor's","m","referred",1,25,5,2,"No",82,"Non-Promotion"
"45124","Analytics","Master's & above","m","other",1,36,3,5,"No",82,"Non-Promotion"
"45125","Analytics","Master's & above","m","other",1,57,5,24,"No",87,"Non-Promotion"
"45128","Sales & Marketing","Master's & above","m","other",1,47,1,5,"No",50,"Non-Promotion"
"45129","Procurement","Master's & above","f","other",1,34,4,8,"No",72,"Non-Promotion"
"45130","Operations","Bachelor's","m","sourcing",2,36,5,4,"No",59,"Non-Promotion"
"45131","Sales & Marketing","Bachelor's","f","other",1,30,5,3,"No",50,"Non-Promotion"
"45133","HR","Bachelor's","f","other",1,48,3,5,"No",52,"Non-Promotion"
"45136","Operations","Master's & above","m","other",1,35,5,9,"No",60,"Non-Promotion"
"45141","Sales & Marketing","Bachelor's","m","referred",2,27,4,4,"No",51,"Promotion"
"45151","Operations","Bachelor's","m","other",1,27,2,4,"No",59,"Non-Promotion"
"45152","Operations","Bachelor's","f","other",1,39,1,10,"No",56,"Non-Promotion"
"45156","Operations","Bachelor's","f","other",2,32,4,4,"No",59,"Non-Promotion"
"45159","Analytics","Bachelor's","m","other",1,34,3,10,"No",82,"Non-Promotion"
"45162","Sales & Marketing","Master's & above","m","sourcing",1,46,2,14,"No",51,"Non-Promotion"
"45170","Procurement","Bachelor's","f","other",1,46,3,7,"No",73,"Non-Promotion"
"45171","Sales & Marketing","Bachelor's","f","other",1,28,4,4,"No",52,"Non-Promotion"
"45173","Operations","Bachelor's","f","other",1,45,5,6,"No",62,"Non-Promotion"
"45174","Technology","Master's & above","f","sourcing",2,33,1,7,"No",85,"Non-Promotion"
"45175","Operations","Bachelor's","f","other",1,43,2,12,"No",60,"Non-Promotion"
"45176","Technology","Bachelor's","f","other",2,36,3,7,"No",85,"Non-Promotion"
"45179","Operations","Master's & above","f","other",1,39,5,10,"No",58,"Non-Promotion"
"45180","Analytics","Bachelor's","m","sourcing",2,29,3,5,"No",86,"Non-Promotion"
"45181","Sales & Marketing","Bachelor's","m","sourcing",1,31,5,6,"No",50,"Non-Promotion"
"45182","Technology","Bachelor's","f","other",1,38,3,8,"No",83,"Non-Promotion"
"45183","Technology","Master's & above","m","other",2,41,3,5,"No",82,"Non-Promotion"
"45190","Procurement","Master's & above","m","other",1,35,1,8,"No",71,"Non-Promotion"
"45191","Technology","Bachelor's","f","other",1,31,4,10,"No",78,"Non-Promotion"
"45192","Procurement","Bachelor's","m","other",1,33,3,3,"No",66,"Promotion"
"45195","Operations","Bachelor's","m","sourcing",2,32,3,6,"No",62,"Promotion"
"45198","Sales & Marketing","Bachelor's","m","other",2,33,3,5,"No",48,"Non-Promotion"
"45203","Procurement","Bachelor's","f","other",1,36,4,2,"No",71,"Non-Promotion"
"45205","Sales & Marketing","Bachelor's","m","sourcing",1,31,4,7,"No",57,"Non-Promotion"
"45206","Sales & Marketing","Master's & above","m","other",2,38,3,6,"No",51,"Non-Promotion"
"45212","HR","Master's & above","f","sourcing",1,37,3,2,"No",51,"Non-Promotion"
"45214","Operations","Master's & above","f","other",1,35,5,9,"No",64,"Non-Promotion"
"45219","Operations","Bachelor's","m","sourcing",1,34,5,7,"No",61,"Non-Promotion"
"45225","Procurement","Bachelor's","m","sourcing",1,42,3,13,"No",68,"Non-Promotion"
"45228","Analytics","Bachelor's","f","other",1,27,1,3,"No",87,"Non-Promotion"
"45230","Procurement","Bachelor's","f","sourcing",2,28,5,4,"No",72,"Non-Promotion"
"45236","Operations","Master's & above","f","sourcing",1,36,4,2,"No",60,"Non-Promotion"
"45244","Technology","Bachelor's","m","sourcing",1,33,5,8,"No",79,"Non-Promotion"
"45245","Analytics","Master's & above","m","other",2,34,5,8,"No",79,"Non-Promotion"
"45246","Sales & Marketing","Master's & above","m","other",1,38,3,3,"No",51,"Non-Promotion"
"45247","Technology","Bachelor's","m","other",1,34,3,5,"No",77,"Non-Promotion"
"45249","Technology","Bachelor's","m","sourcing",1,26,2,2,"No",73,"Non-Promotion"
"45250","Technology","Bachelor's","m","sourcing",1,32,2,4,"No",86,"Non-Promotion"
"45251","Sales & Marketing","Master's & above","m","sourcing",1,34,4,6,"No",46,"Non-Promotion"
"45252","Procurement","Master's & above","f","other",2,52,2,7,"No",75,"Non-Promotion"
"45253","Sales & Marketing","Bachelor's","m","other",1,37,4,2,"No",47,"Non-Promotion"
"45257","Sales & Marketing","Master's & above","m","sourcing",1,34,4,5,"No",51,"Non-Promotion"
"45261","HR","Master's & above","m","sourcing",1,35,3,10,"No",49,"Non-Promotion"
"45262","Sales & Marketing","Bachelor's","m","sourcing",1,29,2,4,"No",53,"Non-Promotion"
"45264","Finance","Bachelor's","m","other",2,33,5,7,"Yes",71,"Promotion"
"45268","Finance","Bachelor's","m","other",1,30,5,4,"No",61,"Non-Promotion"
"45269","HR","Bachelor's","f","other",1,36,3,6,"No",49,"Non-Promotion"
"45274","Sales & Marketing","Bachelor's","m","other",1,29,2,5,"No",54,"Non-Promotion"
"45281","Operations","Bachelor's","m","sourcing",1,29,4,3,"No",62,"Non-Promotion"
"45282","Sales & Marketing","Bachelor's","m","other",1,43,4,4,"No",93,"Promotion"
"45285","Sales & Marketing","Bachelor's","f","other",1,27,3,4,"No",48,"Non-Promotion"
"45287","Procurement","Master's & above","f","sourcing",1,35,3,9,"No",70,"Promotion"
"45291","Technology","Bachelor's","m","other",1,36,2,10,"No",85,"Non-Promotion"
"45292","Technology","Bachelor's","m","other",1,32,5,4,"No",81,"Non-Promotion"
"45293","Sales & Marketing","Master's & above","m","sourcing",1,47,3,6,"No",46,"Non-Promotion"
"45294","Sales & Marketing","Master's & above","m","other",2,36,2,3,"Yes",48,"Non-Promotion"
"45295","Operations","Bachelor's","m","sourcing",1,27,5,5,"No",59,"Promotion"
"45297","Sales & Marketing","Master's & above","f","sourcing",1,38,4,7,"No",52,"Non-Promotion"
"45299","Sales & Marketing","Bachelor's","m","sourcing",1,24,1,2,"No",48,"Non-Promotion"
"45300","Procurement","Master's & above","m","other",1,33,3,9,"No",69,"Non-Promotion"
"45307","R&D","Bachelor's","m","other",1,29,4,3,"No",85,"Non-Promotion"
"45309","Analytics","Bachelor's","f","sourcing",2,29,3,3,"No",84,"Non-Promotion"
"45310","Sales & Marketing","Master's & above","m","other",1,39,2,5,"No",48,"Non-Promotion"
"45315","HR","Bachelor's","f","sourcing",1,30,5,6,"No",49,"Non-Promotion"
"45326","Operations","Bachelor's","m","other",1,45,5,10,"No",55,"Non-Promotion"
"45329","Sales & Marketing","Master's & above","f","sourcing",4,33,3,5,"No",51,"Non-Promotion"
"45334","Technology","Master's & above","f","sourcing",1,35,3,5,"No",96,"Promotion"
"45337","Analytics","Bachelor's","m","referred",2,29,5,3,"No",85,"Promotion"
"45339","Procurement","Bachelor's","m","other",1,29,3,6,"No",66,"Non-Promotion"
"45340","Technology","Master's & above","f","other",1,45,3,7,"No",78,"Non-Promotion"
"45348","Operations","Bachelor's","m","sourcing",2,37,5,6,"No",58,"Non-Promotion"
"45351","Operations","Bachelor's","m","sourcing",1,33,4,4,"No",58,"Non-Promotion"
"45352","Procurement","Master's & above","f","sourcing",1,42,4,14,"No",71,"Non-Promotion"
"45356","Procurement","Bachelor's","f","other",2,27,3,6,"No",65,"Non-Promotion"
"45358","Sales & Marketing","Bachelor's","f","sourcing",1,26,2,2,"No",48,"Non-Promotion"
"45359","Analytics","Bachelor's","m","other",2,32,5,7,"No",86,"Non-Promotion"
"45360","Operations","Bachelor's","m","other",1,29,3,3,"No",61,"Non-Promotion"
"45362","HR","Below Secondary","f","other",1,23,5,2,"No",52,"Non-Promotion"
"45366","Procurement","Bachelor's","f","sourcing",2,37,3,8,"No",73,"Non-Promotion"
"45369","Technology","Master's & above","m","sourcing",1,34,4,8,"No",82,"Non-Promotion"
"45372","Sales & Marketing","Master's & above","f","sourcing",1,36,1,3,"No",47,"Non-Promotion"
"45375","Operations","Master's & above","m","other",1,33,5,7,"No",60,"Non-Promotion"
"45376","Legal","Bachelor's","f","sourcing",1,36,3,6,"No",63,"Non-Promotion"
"45378","Sales & Marketing","Bachelor's","f","sourcing",2,30,1,5,"No",47,"Non-Promotion"
"45379","Sales & Marketing","Bachelor's","m","sourcing",1,31,4,4,"No",45,"Non-Promotion"
"45381","Finance","Master's & above","m","other",1,42,4,14,"No",62,"Non-Promotion"
"45382","Sales & Marketing","Bachelor's","m","other",1,34,1,4,"No",51,"Non-Promotion"
"45383","Sales & Marketing","Bachelor's","m","other",3,27,3,2,"No",52,"Non-Promotion"
"45385","Operations","Bachelor's","f","sourcing",1,39,5,5,"No",60,"Non-Promotion"
"45389","Operations","Bachelor's","m","sourcing",1,29,3,6,"No",63,"Non-Promotion"
"45392","Sales & Marketing","Bachelor's","m","sourcing",1,32,4,7,"No",50,"Non-Promotion"
"45394","Sales & Marketing","Bachelor's","m","other",1,35,5,3,"No",47,"Non-Promotion"
"45395","Sales & Marketing","Bachelor's","m","sourcing",3,33,1,5,"No",51,"Non-Promotion"
"45403","Procurement","Bachelor's","f","sourcing",1,44,5,5,"No",67,"Non-Promotion"
"45408","Operations","Bachelor's","m","other",1,34,3,3,"No",60,"Non-Promotion"
"45411","Operations","Bachelor's","m","other",1,31,4,4,"No",59,"Non-Promotion"
"45413","Sales & Marketing","Master's & above","m","sourcing",2,46,3,6,"No",48,"Non-Promotion"
"45415","Analytics","Bachelor's","m","sourcing",1,30,5,4,"No",87,"Non-Promotion"
"45417","Finance","Bachelor's","f","sourcing",2,26,5,3,"No",61,"Non-Promotion"
"45419","Procurement","Master's & above","f","sourcing",1,31,1,4,"No",70,"Non-Promotion"
"45420","Sales & Marketing","Master's & above","f","other",1,37,4,9,"No",51,"Non-Promotion"
"45423","Procurement","Bachelor's","f","other",2,35,3,7,"No",68,"Non-Promotion"
"45424","Technology","Bachelor's","m","other",1,26,3,2,"No",78,"Non-Promotion"
"45426","Analytics","Master's & above","m","other",2,34,5,2,"No",88,"Non-Promotion"
"45428","Finance","Bachelor's","m","sourcing",4,32,3,7,"No",65,"Non-Promotion"
"45429","Operations","Bachelor's","m","other",1,29,2,2,"No",56,"Non-Promotion"
"45432","Operations","Master's & above","f","sourcing",1,33,3,5,"No",58,"Non-Promotion"
"45434","HR","Master's & above","f","other",1,32,3,4,"No",51,"Non-Promotion"
"45438","Sales & Marketing","Bachelor's","m","other",1,31,4,6,"No",49,"Non-Promotion"
"45439","R&D","Bachelor's","m","other",1,27,1,4,"No",88,"Non-Promotion"
"45441","Technology","Master's & above","m","other",1,36,3,7,"No",79,"Non-Promotion"
"45446","Sales & Marketing","Master's & above","m","other",1,35,3,10,"No",49,"Non-Promotion"
"45448","Procurement","Bachelor's","f","other",1,41,4,10,"No",69,"Non-Promotion"
"45459","Procurement","Bachelor's","f","other",1,38,5,8,"No",72,"Non-Promotion"
"45460","Analytics","Bachelor's","m","sourcing",2,26,5,3,"No",86,"Non-Promotion"
"45462","Operations","Master's & above","m","sourcing",1,56,5,13,"No",59,"Non-Promotion"
"45464","Technology","Master's & above","m","sourcing",1,44,5,5,"No",78,"Non-Promotion"
"45465","Sales & Marketing","Bachelor's","m","other",1,27,5,1,"No",48,"Non-Promotion"
"45468","Finance","Bachelor's","m","other",2,31,1,9,"No",62,"Non-Promotion"
"45469","Sales & Marketing","Bachelor's","m","other",1,31,5,7,"No",49,"Promotion"
"45472","Operations","Bachelor's","f","referred",2,34,3,6,"No",60,"Non-Promotion"
"45475","Operations","Master's & above","m","other",1,31,3,4,"No",63,"Non-Promotion"
"45476","Procurement","Master's & above","m","sourcing",1,51,1,3,"No",70,"Non-Promotion"
"45479","Sales & Marketing","Bachelor's","m","other",1,29,1,2,"No",52,"Non-Promotion"
"45480","Technology","Bachelor's","m","other",1,55,1,7,"No",75,"Non-Promotion"
"45483","Sales & Marketing","Master's & above","m","sourcing",3,32,1,6,"No",46,"Non-Promotion"
"45487","Operations","Bachelor's","f","referred",2,35,3,7,"No",57,"Promotion"
"45490","Technology","Bachelor's","m","sourcing",1,52,3,19,"No",82,"Non-Promotion"
"45492","Operations","Master's & above","f","sourcing",1,36,3,6,"No",59,"Non-Promotion"
"45495","Sales & Marketing","Bachelor's","m","other",1,36,1,4,"No",48,"Non-Promotion"
"45498","Operations","Master's & above","f","sourcing",1,34,5,7,"No",61,"Non-Promotion"
"45500","HR","Master's & above","m","sourcing",2,56,3,7,"No",50,"Non-Promotion"
"45502","R&D","Master's & above","m","other",1,30,3,5,"No",86,"Promotion"
"45503","Sales & Marketing","Bachelor's","m","sourcing",1,37,3,4,"No",47,"Non-Promotion"
"45506","Operations","Bachelor's","m","other",1,31,3,6,"No",60,"Non-Promotion"
"45507","Procurement","Master's & above","f","other",1,32,4,6,"No",71,"Non-Promotion"
"45508","Sales & Marketing","Bachelor's","m","sourcing",1,27,2,4,"No",41,"Non-Promotion"
"45509","Technology","Bachelor's","m","referred",1,30,3,4,"No",80,"Non-Promotion"
"45510","Operations","Bachelor's","f","other",1,30,3,2,"No",60,"Promotion"
"45511","Sales & Marketing","Bachelor's","m","other",1,29,5,2,"No",56,"Non-Promotion"
"45513","Operations","Bachelor's","m","other",2,34,5,6,"No",75,"Promotion"
"45517","Analytics","Bachelor's","m","other",1,27,4,6,"No",84,"Non-Promotion"
"45519","Legal","Bachelor's","f","other",1,38,4,7,"No",60,"Non-Promotion"
"45521","Operations","Bachelor's","m","other",1,29,1,4,"No",61,"Non-Promotion"
"45523","Sales & Marketing","Master's & above","m","other",1,36,3,2,"No",46,"Non-Promotion"
"45530","Sales & Marketing","Bachelor's","m","sourcing",1,32,3,7,"No",46,"Non-Promotion"
"45539","Analytics","Bachelor's","m","other",1,30,4,6,"No",87,"Non-Promotion"
"45542","HR","Master's & above","m","other",1,37,4,9,"No",46,"Non-Promotion"
"45543","Procurement","Bachelor's","m","sourcing",1,27,4,2,"No",70,"Non-Promotion"
"45544","Operations","Master's & above","f","other",3,44,4,5,"No",60,"Non-Promotion"
"45546","Procurement","Master's & above","m","other",1,37,2,4,"No",65,"Non-Promotion"
"45548","Procurement","Master's & above","m","sourcing",1,35,2,9,"No",69,"Non-Promotion"
"45552","Technology","Master's & above","f","sourcing",2,42,3,5,"No",78,"Non-Promotion"
"45553","Operations","Bachelor's","f","other",1,36,3,2,"No",60,"Non-Promotion"
"45557","Sales & Marketing","Master's & above","f","other",1,37,3,5,"No",50,"Non-Promotion"
"45559","Operations","Bachelor's","m","other",2,33,3,7,"No",60,"Non-Promotion"
"45564","Technology","Bachelor's","f","other",1,32,3,6,"No",84,"Non-Promotion"
"45566","Operations","Bachelor's","f","other",2,52,4,24,"No",58,"Non-Promotion"
"45568","Procurement","Master's & above","f","other",2,46,3,2,"No",69,"Non-Promotion"
"45569","Sales & Marketing","Bachelor's","m","other",1,28,4,2,"No",51,"Non-Promotion"
"45571","Operations","Bachelor's","f","sourcing",1,50,1,5,"No",60,"Non-Promotion"
"45572","Sales & Marketing","Bachelor's","m","other",1,27,2,4,"No",49,"Non-Promotion"
"45573","Analytics","Bachelor's","m","other",2,30,3,8,"No",82,"Non-Promotion"
"45574","Operations","Bachelor's","f","sourcing",1,35,2,2,"No",64,"Non-Promotion"
"45575","Sales & Marketing","Bachelor's","m","other",1,37,2,5,"No",46,"Non-Promotion"
"45576","HR","Master's & above","f","sourcing",1,33,4,7,"No",47,"Non-Promotion"
"45578","Analytics","Bachelor's","m","sourcing",1,26,2,2,"No",86,"Non-Promotion"
"45580","Sales & Marketing","Master's & above","m","other",1,32,3,3,"No",49,"Non-Promotion"
"45585","Analytics","Bachelor's","m","other",2,27,3,2,"No",88,"Non-Promotion"
"45586","Analytics","Master's & above","m","sourcing",1,32,4,7,"No",79,"Non-Promotion"
"45597","Technology","Master's & above","m","other",1,57,2,7,"No",74,"Non-Promotion"
"45599","Procurement","Master's & above","f","sourcing",1,54,3,19,"No",72,"Non-Promotion"
"45603","Operations","Master's & above","m","other",1,34,1,2,"No",58,"Non-Promotion"
"45606","Analytics","Bachelor's","m","other",2,30,3,3,"No",83,"Non-Promotion"
"45609","Operations","Bachelor's","m","sourcing",1,37,3,3,"No",60,"Non-Promotion"
"45613","Procurement","Bachelor's","m","sourcing",1,42,3,3,"No",68,"Non-Promotion"
"45616","Procurement","Bachelor's","m","other",1,38,2,7,"No",67,"Non-Promotion"
"45623","Finance","Bachelor's","m","other",1,31,4,4,"No",60,"Non-Promotion"
"45627","Sales & Marketing","Bachelor's","m","other",1,47,1,5,"No",53,"Non-Promotion"
"45630","Procurement","Bachelor's","m","other",1,37,1,3,"No",68,"Non-Promotion"
"45634","Technology","Bachelor's","m","sourcing",1,29,3,2,"No",80,"Promotion"
"45637","Technology","Bachelor's","m","other",2,27,3,2,"Yes",88,"Promotion"
"45638","Sales & Marketing","Bachelor's","m","sourcing",1,29,5,2,"No",45,"Non-Promotion"
"45640","Operations","Bachelor's","m","sourcing",1,33,2,5,"No",59,"Non-Promotion"
"45642","Analytics","Master's & above","m","sourcing",1,36,5,3,"No",88,"Non-Promotion"
"45643","Operations","Bachelor's","m","other",1,30,5,5,"No",59,"Non-Promotion"
"45644","Sales & Marketing","Bachelor's","m","other",5,27,1,2,"No",51,"Non-Promotion"
"45645","Procurement","Master's & above","m","other",1,39,4,5,"No",72,"Non-Promotion"
"45648","HR","Bachelor's","f","other",1,52,4,17,"No",44,"Non-Promotion"
"45649","Sales & Marketing","Master's & above","m","sourcing",2,32,3,9,"No",42,"Non-Promotion"
